('fuck you', array([[ 0.95598597,  0.04401403]]))
('bet you', array([[ 0.4734734,  0.5265266]]))
('you still', array([[ 0.4732467,  0.5267533]]))
('you so', array([[ 0.47268852,  0.52731148]]))
('stop removing', array([[ 0.47180704,  0.52819296]]))
('real life', array([[ 0.4697562,  0.5302438]]))
('an idiot', array([[ 0.4696986,  0.5303014]]))
('tell you', array([[ 0.46944937,  0.53055063]]))
('with you', array([[ 0.46804231,  0.53195769]]))
('how you', array([[ 0.4666743,  0.5333257]]))
('off and', array([[ 0.46234671,  0.53765329]]))
('whatever you', array([[ 0.46186612,  0.53813388]]))
('me is', array([[ 0.46128997,  0.53871003]]))
('you come', array([[ 0.46008939,  0.53991061]]))
('for you', array([[ 0.45918964,  0.54081036]]))
('why you', array([[ 0.45889501,  0.54110499]]))
('know you', array([[ 0.45871304,  0.54128696]]))
('you can', array([[ 0.4583919,  0.5416081]]))
('up shut', array([[ 0.45364712,  0.54635288]]))
('get me', array([[ 0.45340923,  0.54659077]]))
('people like', array([[ 0.45229375,  0.54770625]]))
('you look', array([[ 0.45142802,  0.54857198]]))
('what you', array([[ 0.4511825,  0.5488175]]))
('but you', array([[ 0.45061986,  0.54938014]]))
('you were', array([[ 0.45013444,  0.54986556]]))
('vista fucking', array([[ 0.44911809,  0.55088191]]))
('life and', array([[ 0.44905272,  0.55094728]]))
('your opinion', array([[ 0.44809302,  0.55190698]]))
('attacked you', array([[ 0.44693235,  0.55306765]]))
('told you', array([[ 0.44675994,  0.55324006]]))
('block me', array([[ 0.44523299,  0.55476701]]))
('aren you', array([[ 0.44182542,  0.55817458]]))
('blocked me', array([[ 0.4410958,  0.5589042]]))
('my page', array([[ 0.44053528,  0.55946472]]))
('than you', array([[ 0.44037036,  0.55962964]]))
('in your', array([[ 0.43898202,  0.56101798]]))
('like your', array([[ 0.43519775,  0.56480225]]))
('you call', array([[ 0.43466423,  0.56533577]]))
('your mum', array([[ 0.43450339,  0.56549661]]))
('you aren', array([[ 0.43432738,  0.56567262]]))
('you got', array([[ 0.43387735,  0.56612265]]))
('you need', array([[ 0.43272503,  0.56727497]]))
('out your', array([[ 0.43185736,  0.56814264]]))
('who you', array([[ 0.43184298,  0.56815702]]))
('report you', array([[ 0.43146587,  0.56853413]]))
('neo nazi', array([[ 0.43001296,  0.56998704]]))
('all your', array([[ 0.42779892,  0.57220108]]))
('you didn', array([[ 0.42596717,  0.57403283]]))
('you remove', array([[ 0.42541009,  0.57458991]]))
('by you', array([[ 0.4252416,  0.5747584]]))
('nigger nigger', array([[ 0.42448974,  0.57551026]]))
('against you', array([[ 0.42441052,  0.57558948]]))
('sock puppets', array([[ 0.42407137,  0.57592863]]))
('dont you', array([[ 0.42271205,  0.57728795]]))
('you to', array([[ 0.42205244,  0.57794756]]))
('me so', array([[ 0.42144514,  0.57855486]]))
('on your', array([[ 0.42142198,  0.57857802]]))
('now you', array([[ 0.42073533,  0.57926467]]))
('stop this', array([[ 0.42024436,  0.57975564]]))
('whore your', array([[ 0.42015786,  0.57984214]]))
('edits you', array([[ 0.41767701,  0.58232299]]))
('give you', array([[ 0.41742875,  0.58257125]]))
('stop it', array([[ 0.4162483,  0.5837517]]))
('you if', array([[ 0.41611965,  0.58388035]]))
('up and', array([[ 0.41593078,  0.58406922]]))
('you who', array([[ 0.41571308,  0.58428692]]))
('nazi and', array([[ 0.41473686,  0.58526314]]))
('here you', array([[ 0.41453522,  0.58546478]]))
('then you', array([[ 0.41367136,  0.58632864]]))
('many people', array([[ 0.41206517,  0.58793483]]))
('your own', array([[ 0.41177419,  0.58822581]]))
('you ll', array([[ 0.41096097,  0.58903903]]))
('everything you', array([[ 0.41086027,  0.58913973]]))
('your problem', array([[ 0.41081264,  0.58918736]]))
('you claim', array([[ 0.41073075,  0.58926925]]))
('he just', array([[ 0.40977903,  0.59022097]]))
('calling you', array([[ 0.40673659,  0.59326341]]))
('you not', array([[ 0.40632019,  0.59367981]]))
('you out', array([[ 0.40589879,  0.59410121]]))
('your personal', array([[ 0.40542707,  0.59457293]]))
('ha ha', array([[ 0.40479526,  0.59520474]]))
('you do', array([[ 0.40425211,  0.59574789]]))
('you accuse', array([[ 0.40242085,  0.59757915]]))
('off the', array([[ 0.40239081,  0.59760919]]))
('take your', array([[ 0.40154657,  0.59845343]]))
('guys are', array([[ 0.40138786,  0.59861214]]))
('time you', array([[ 0.40117642,  0.59882358]]))
('you even', array([[ 0.40112884,  0.59887116]]))
('people and', array([[ 0.3999093,  0.6000907]]))
('you had', array([[ 0.39880446,  0.60119554]]))
('your claims', array([[ 0.39866669,  0.60133331]]))
('and he', array([[ 0.39828124,  0.60171876]]))
('attacks you', array([[ 0.39792119,  0.60207881]]))
('go away', array([[ 0.39666049,  0.60333951]]))
('you talking', array([[ 0.39590658,  0.60409342]]))
('my people', array([[ 0.39567118,  0.60432882]]))
('and me', array([[ 0.39503798,  0.60496202]]))
('your edits', array([[ 0.39499762,  0.60500238]]))
('you find', array([[ 0.39390219,  0.60609781]]))
('calling me', array([[ 0.39390045,  0.60609955]]))
('anything you', array([[ 0.39373319,  0.60626681]]))
('your time', array([[ 0.39355973,  0.60644027]]))
('me like', array([[ 0.39302584,  0.60697416]]))
('have you', array([[ 0.38969748,  0.61030252]]))
('nazi salute', array([[ 0.38874324,  0.61125676]]))
('unless you', array([[ 0.38822627,  0.61177373]]))
('you block', array([[ 0.38816983,  0.61183017]]))
('no you', array([[ 0.38787827,  0.61212173]]))
('you revert', array([[ 0.38687169,  0.61312831]]))
('my edits', array([[ 0.38643516,  0.61356484]]))
('your behavior', array([[ 0.38640829,  0.61359171]]))
('you enjoy', array([[ 0.3852068,  0.6147932]]))
('of your', array([[ 0.38503625,  0.61496375]]))
('you with', array([[ 0.38408521,  0.61591479]]))
('your comments', array([[ 0.38372149,  0.61627851]]))
('that your', array([[ 0.3806401,  0.6193599]]))
('your message', array([[ 0.38016036,  0.61983964]]))
('you simply', array([[ 0.38011979,  0.61988021]]))
('want you', array([[ 0.37982484,  0.62017516]]))
('me on', array([[ 0.37952727,  0.62047273]]))
('you deleted', array([[ 0.37933077,  0.62066923]]))
('page you', array([[ 0.37925278,  0.62074722]]))
('that guy', array([[ 0.37901512,  0.62098488]]))
('me alone', array([[ 0.37886808,  0.62113192]]))
('wikipedia your', array([[ 0.37791625,  0.62208375]]))
('your pov', array([[ 0.37776557,  0.62223443]]))
('about you', array([[ 0.37768685,  0.62231315]]))
('you then', array([[ 0.37744439,  0.62255561]]))
('stop adding', array([[ 0.37694093,  0.62305907]]))
('me will', array([[ 0.37685073,  0.62314927]]))
('as you', array([[ 0.37645174,  0.62354826]]))
('person who', array([[ 0.37637425,  0.62362575]]))
('it you', array([[ 0.37598828,  0.62401172]]))
('you now', array([[ 0.37464669,  0.62535331]]))
('you took', array([[ 0.37392346,  0.62607654]]))
('you tell', array([[ 0.37364032,  0.62635968]]))
('your right', array([[ 0.37341943,  0.62658057]]))
('think your', array([[ 0.37340671,  0.62659329]]))
('just your', array([[ 0.37246225,  0.62753775]]))
('in life', array([[ 0.37102708,  0.62897292]]))
('can you', array([[ 0.37094759,  0.62905241]]))
('get rid', array([[ 0.37029827,  0.62970173]]))
('you said', array([[ 0.36949177,  0.63050823]]))
('he she', array([[ 0.36830402,  0.63169598]]))
('you on', array([[ 0.36731877,  0.63268123]]))
('you consider', array([[ 0.36724181,  0.63275819]]))
('is nothing', array([[ 0.36620578,  0.63379422]]))
('about your', array([[ 0.36600072,  0.63399928]]))
('since you', array([[ 0.36573571,  0.63426429]]))
('you seem', array([[ 0.36560877,  0.63439123]]))
('me no', array([[ 0.36504653,  0.63495347]]))
('me and', array([[ 0.36496076,  0.63503924]]))
('at you', array([[ 0.36474462,  0.63525538]]))
('you might', array([[ 0.36472865,  0.63527135]]))
('tell me', array([[ 0.36472569,  0.63527431]]))
('thing you', array([[ 0.36429501,  0.63570499]]))
('that he', array([[ 0.36417564,  0.63582436]]))
('and people', array([[ 0.3635202,  0.6364798]]))
('one you', array([[ 0.36134454,  0.63865546]]))
('blocking me', array([[ 0.3609107,  0.6390893]]))
('think you', array([[ 0.36071849,  0.63928151]]))
('his own', array([[ 0.35988389,  0.64011611]]))
('and his', array([[ 0.35942866,  0.64057134]]))
('up for', array([[ 0.35896248,  0.64103752]]))
('by me', array([[ 0.35883107,  0.64116893]]))
('of life', array([[ 0.35825644,  0.64174356]]))
('your page', array([[ 0.35797188,  0.64202812]]))
('because he', array([[ 0.35641504,  0.64358496]]))
('you prefer', array([[ 0.35532539,  0.64467461]]))
('to your', array([[ 0.35519536,  0.64480464]]))
('you that', array([[ 0.35502651,  0.64497349]]))
('by your', array([[ 0.35467459,  0.64532541]]))
('you dont', array([[ 0.35380506,  0.64619494]]))
('for me', array([[ 0.35326377,  0.64673623]]))
('you wrote', array([[ 0.35324568,  0.64675432]]))
('you must', array([[ 0.35299425,  0.64700575]]))
('you think', array([[ 0.35263862,  0.64736138]]))
('me in', array([[ 0.35200286,  0.64799714]]))
('you delete', array([[ 0.35173638,  0.64826362]]))
('thought you', array([[ 0.3517281,  0.6482719]]))
('else you', array([[ 0.35099259,  0.64900741]]))
('to you', array([[ 0.34938865,  0.65061135]]))
('you be', array([[ 0.34898793,  0.65101207]]))
('stop if', array([[ 0.34882486,  0.65117514]]))
('wikipedia you', array([[ 0.34825871,  0.65174129]]))
('you what', array([[ 0.34791693,  0.65208307]]))
('also you', array([[ 0.34776966,  0.65223034]]))
('imageshack us', array([[ 0.34760133,  0.65239867]]))
('accusing me', array([[ 0.34749966,  0.65250034]]))
('you an', array([[ 0.34729554,  0.65270446]]))
('well you', array([[ 0.34721161,  0.65278839]]))
('you of', array([[ 0.34681936,  0.65318064]]))
('you feel', array([[ 0.346562,  0.653438]]))
('people can', array([[ 0.34588934,  0.65411066]]))
('for your', array([[ 0.34588023,  0.65411977]]))
('this you', array([[ 0.34572737,  0.65427263]]))
('accuse me', array([[ 0.34489023,  0.65510977]]))
('me come', array([[ 0.34471739,  0.65528261]]))
('life to', array([[ 0.34434777,  0.65565223]]))
('he will', array([[ 0.34360722,  0.65639278]]))
('me of', array([[ 0.34295548,  0.65704452]]))
('pages you', array([[ 0.34280547,  0.65719453]]))
('you ever', array([[ 0.34196671,  0.65803329]]))
('you put', array([[ 0.34190452,  0.65809548]]))
('and they', array([[ 0.34180011,  0.65819989]]))
('keep your', array([[ 0.3417608,  0.6582392]]))
('are people', array([[ 0.34161285,  0.65838715]]))
('lies and', array([[ 0.3410467,  0.6589533]]))
('get away', array([[ 0.3409219,  0.6590781]]))
('your response', array([[ 0.34057228,  0.65942772]]))
('and nothing', array([[ 0.34012961,  0.65987039]]))
('have nothing', array([[ 0.33962671,  0.66037329]]))
('you about', array([[ 0.33917383,  0.66082617]]))
('leave me', array([[ 0.33907957,  0.66092043]]))
('man who', array([[ 0.33875244,  0.66124756]]))
('life of', array([[ 0.33828838,  0.66171162]]))
('you from', array([[ 0.33816224,  0.66183776]]))
('were you', array([[ 0.33797687,  0.66202313]]))
('you this', array([[ 0.3379361,  0.6620639]]))
('go back', array([[ 0.33781103,  0.66218897]]))
('with people', array([[ 0.33727287,  0.66272713]]))
('right wing', array([[ 0.33726827,  0.66273173]]))
('you mean', array([[ 0.33630105,  0.66369895]]))
('mean you', array([[ 0.33612424,  0.66387576]]))
('off of', array([[ 0.33565936,  0.66434064]]))
('want me', array([[ 0.33490801,  0.66509199]]))
('suggest you', array([[ 0.33459563,  0.66540437]]))
('because am', array([[ 0.33452527,  0.66547473]]))
('makes you', array([[ 0.33445744,  0.66554256]]))
('yourself to', array([[ 0.33264647,  0.66735353]]))
('call me', array([[ 0.33222605,  0.66777395]]))
('is my', array([[ 0.33204839,  0.66795161]]))
('nothing more', array([[ 0.33202154,  0.66797846]]))
('my own', array([[ 0.33171198,  0.66828802]]))
('then go', array([[ 0.33170321,  0.66829679]]))
('he and', array([[ 0.33154647,  0.66845353]]))
('other people', array([[ 0.3314917,  0.6685083]]))
('can get', array([[ 0.3312512,  0.6687488]]))
('and my', array([[ 0.33085768,  0.66914232]]))
('like me', array([[ 0.32987502,  0.67012498]]))
('you decide', array([[ 0.32949422,  0.67050578]]))
('he still', array([[ 0.32933769,  0.67066231]]))
('once you', array([[ 0.32925807,  0.67074193]]))
('you would', array([[ 0.32914083,  0.67085917]]))
('editors are', array([[ 0.32899257,  0.67100743]]))
('people with', array([[ 0.32891854,  0.67108146]]))
('go and', array([[ 0.32869618,  0.67130382]]))
('you cannot', array([[ 0.32839489,  0.67160511]]))
('fat whore', array([[ 0.32821886,  0.67178114]]))
('the nazi', array([[ 0.3271887,  0.6728113]]))
('us all', array([[ 0.32666173,  0.67333827]]))
('bad faith', array([[ 0.32551906,  0.67448094]]))
('makes me', array([[ 0.32551381,  0.67448619]]))
('so is', array([[ 0.32536265,  0.67463735]]))
('you or', array([[ 0.32534572,  0.67465428]]))
('and go', array([[ 0.32520566,  0.67479434]]))
('me just', array([[ 0.32431995,  0.67568005]]))
('for yourself', array([[ 0.32431587,  0.67568413]]))
('before you', array([[ 0.32357774,  0.67642226]]))
('about yourself', array([[ 0.32283538,  0.67716462]]))
('you agree', array([[ 0.32283257,  0.67716743]]))
('is bad', array([[ 0.32266538,  0.67733462]]))
('don like', array([[ 0.32256475,  0.67743525]]))
('sock puppet', array([[ 0.3224447,  0.6775553]]))
('me with', array([[ 0.3222954,  0.6777046]]))
('my user', array([[ 0.32218946,  0.67781054]]))
('us and', array([[ 0.32187433,  0.67812567]]))
('for my', array([[ 0.32161128,  0.67838872]]))
('your statement', array([[ 0.32134705,  0.67865295]]))
('me how', array([[ 0.32114641,  0.67885359]]))
('personal attack', array([[ 0.32103438,  0.67896562]]))
('who do', array([[ 0.32082836,  0.67917164]]))
('me why', array([[ 0.32029577,  0.67970423]]))
('you it', array([[ 0.32004184,  0.67995816]]))
('jews and', array([[ 0.31963946,  0.68036054]]))
('not you', array([[ 0.31962892,  0.68037108]]))
('again you', array([[ 0.31948941,  0.68051059]]))
('on me', array([[ 0.319346,  0.680654]]))
('he does', array([[ 0.31889602,  0.68110398]]))
('you left', array([[ 0.31802997,  0.68197003]]))
('you disagree', array([[ 0.31800286,  0.68199714]]))
('people have', array([[ 0.31780191,  0.68219809]]))
('yes you', array([[ 0.31699276,  0.68300724]]))
('is he', array([[ 0.31614739,  0.68385261]]))
('get the', array([[ 0.31594142,  0.68405858]]))
('you read', array([[ 0.31590195,  0.68409805]]))
('up with', array([[ 0.31578311,  0.68421689]]))
('you also', array([[ 0.31570991,  0.68429009]]))
('because they', array([[ 0.31547363,  0.68452637]]))
('what your', array([[ 0.31497547,  0.68502453]]))
('delete my', array([[ 0.31476133,  0.68523867]]))
('some people', array([[ 0.31464818,  0.68535182]]))
('my personal', array([[ 0.31417813,  0.68582187]]))
('me for', array([[ 0.31404327,  0.68595673]]))
('these people', array([[ 0.31388183,  0.68611817]]))
('your contributions', array([[ 0.31333402,  0.68666598]]))
('you very', array([[ 0.31328445,  0.68671555]]))
('do your', array([[ 0.31287962,  0.68712038]]))
('at your', array([[ 0.31283877,  0.68716123]]))
('with me', array([[ 0.31245171,  0.68754829]]))
('make you', array([[ 0.31217641,  0.68782359]]))
('give me', array([[ 0.31177945,  0.68822055]]))
('get some', array([[ 0.31110114,  0.68889886]]))
('insert your', array([[ 0.31055611,  0.68944389]]))
('is just', array([[ 0.31007965,  0.68992035]]))
('shut the', array([[ 0.30980181,  0.69019819]]))
('he was', array([[ 0.30944335,  0.69055665]]))
('your actions', array([[ 0.30838828,  0.69161172]]))
('read your', array([[ 0.30798206,  0.69201794]]))
('things you', array([[ 0.30794995,  0.69205005]]))
('rules you', array([[ 0.30779078,  0.69220922]]))
('me not', array([[ 0.30778477,  0.69221523]]))
('though you', array([[ 0.30761298,  0.69238702]]))
('you removed', array([[ 0.30738683,  0.69261317]]))
('something you', array([[ 0.30735557,  0.69264443]]))
('left wing', array([[ 0.30719795,  0.69280205]]))
('are so', array([[ 0.30711449,  0.69288551]]))
('all my', array([[ 0.3067901,  0.6932099]]))
('you choose', array([[ 0.30675736,  0.69324264]]))
('the people', array([[ 0.30660478,  0.69339522]]))
('of me', array([[ 0.30642325,  0.69357675]]))
('you posted', array([[ 0.30615389,  0.69384611]]))
('personal attacks', array([[ 0.30604005,  0.69395995]]))
('the gay', array([[ 0.3050023,  0.6949977]]))
('your information', array([[ 0.30469242,  0.69530758]]))
('and so', array([[ 0.30452193,  0.69547807]]))
('so don', array([[ 0.30434263,  0.69565737]]))
('your case', array([[ 0.30415575,  0.69584425]]))
('it off', array([[ 0.30339997,  0.69660003]]))
('get back', array([[ 0.30330578,  0.69669422]]))
('will come', array([[ 0.30316658,  0.69683342]]))
('however you', array([[ 0.3031319,  0.6968681]]))
('get an', array([[ 0.30294637,  0.69705363]]))
('my work', array([[ 0.30249583,  0.69750417]]))
('he knows', array([[ 0.30219118,  0.69780882]]))
('they will', array([[ 0.30137381,  0.69862619]]))
('you as', array([[ 0.30122047,  0.69877953]]))
('whether you', array([[ 0.3009786,  0.6990214]]))
('latinus abusing', array([[ 0.30076654,  0.69923346]]))
('when people', array([[ 0.30066282,  0.69933718]]))
('cover up', array([[ 0.3004822,  0.6995178]]))
('you in', array([[ 0.29980779,  0.70019221]]))
('answer your', array([[ 0.29980528,  0.70019472]]))
('and jews', array([[ 0.29969747,  0.70030253]]))
('you ve', array([[ 0.29940752,  0.70059248]]))
('while you', array([[ 0.29938934,  0.70061066]]))
('what he', array([[ 0.29932497,  0.70067503]]))
('your reply', array([[ 0.29931555,  0.70068445]]))
('don even', array([[ 0.29871108,  0.70128892]]))
('as your', array([[ 0.29870991,  0.70129009]]))
('you write', array([[ 0.29821956,  0.70178044]]))
('me what', array([[ 0.29821416,  0.70178584]]))
('or your', array([[ 0.29805619,  0.70194381]]))
('will get', array([[ 0.29785847,  0.70214153]]))
('they don', array([[ 0.29780757,  0.70219243]]))
('until you', array([[ 0.29745504,  0.70254496]]))
('he should', array([[ 0.29738253,  0.70261747]]))
('he has', array([[ 0.29727576,  0.70272424]]))
('have your', array([[ 0.29726887,  0.70273113]]))
('let you', array([[ 0.29680884,  0.70319116]]))
('told me', array([[ 0.2967599,  0.7032401]]))
('smells like', array([[ 0.29664414,  0.70335586]]))
('will never', array([[ 0.29617627,  0.70382373]]))
('font size', array([[ 0.29554314,  0.70445686]]))
('if you', array([[ 0.29544958,  0.70455042]]))
('for people', array([[ 0.29537528,  0.70462472]]))
('me out', array([[ 0.29531688,  0.70468312]]))
('term nazi', array([[ 0.29523461,  0.70476539]]))
('links you', array([[ 0.29521805,  0.70478195]]))
('abusing power', array([[ 0.2951679,  0.7048321]]))
('power proof', array([[ 0.29512813,  0.70487187]]))
('are being', array([[ 0.29487675,  0.70512325]]))
('all of', array([[ 0.29438322,  0.70561678]]))
('have no', array([[ 0.29433711,  0.70566289]]))
('he can', array([[ 0.29333826,  0.70666174]]))
('case you', array([[ 0.29239434,  0.70760566]]))
('it your', array([[ 0.29170516,  0.70829484]]))
('then he', array([[ 0.29145691,  0.70854309]]))
('and don', array([[ 0.29134055,  0.70865945]]))
('they are', array([[ 0.29126844,  0.70873156]]))
('come up', array([[ 0.29050832,  0.70949168]]))
('people do', array([[ 0.29031842,  0.70968158]]))
('you know', array([[ 0.29020112,  0.70979888]]))
('images you', array([[ 0.28992978,  0.71007022]]))
('just go', array([[ 0.28985902,  0.71014098]]))
('so he', array([[ 0.28985029,  0.71014971]]))
('and are', array([[ 0.28949396,  0.71050604]]))
('would you', array([[ 0.28947414,  0.71052586]]))
('big fat', array([[ 0.28939543,  0.71060457]]))
('people that', array([[ 0.28928084,  0.71071916]]))
('go to', array([[ 0.28920264,  0.71079736]]))
('reason you', array([[ 0.28910192,  0.71089808]]))
('you the', array([[ 0.28908072,  0.71091928]]))
('your user', array([[ 0.28907445,  0.71092555]]))
('islam is', array([[ 0.28857412,  0.71142588]]))
('you post', array([[ 0.28833111,  0.71166889]]))
('your work', array([[ 0.28823388,  0.71176612]]))
('can go', array([[ 0.28821381,  0.71178619]]))
('that people', array([[ 0.28820177,  0.71179823]]))
('he got', array([[ 0.288145,  0.711855]]))
('when you', array([[ 0.28804067,  0.71195933]]))
('my opinion', array([[ 0.28781747,  0.71218253]]))
('and will', array([[ 0.28742615,  0.71257385]]))
('which you', array([[ 0.28707414,  0.71292586]]))
('people on', array([[ 0.28705398,  0.71294602]]))
('right faggot', array([[ 0.28700679,  0.71299321]]))
('no personal', array([[ 0.28675229,  0.71324771]]))
('who will', array([[ 0.28605146,  0.71394854]]))
('assure you', array([[ 0.28575971,  0.71424029]]))
('is up', array([[ 0.28575036,  0.71424964]]))
('your comment', array([[ 0.28558402,  0.71441598]]))
('you but', array([[ 0.28555039,  0.71444961]]))
('editors who', array([[ 0.2853437,  0.7146563]]))
('attacks and', array([[ 0.28494923,  0.71505077]]))
('give up', array([[ 0.28487561,  0.71512439]]))
('support your', array([[ 0.28484191,  0.71515809]]))
('poop poop', array([[ 0.28478901,  0.71521099]]))
('boobs boobs', array([[ 0.28455728,  0.71544272]]))
('to yourself', array([[ 0.28438383,  0.71561617]]))
('show me', array([[ 0.28428704,  0.71571296]]))
('and personal', array([[ 0.28384944,  0.71615056]]))
('to my', array([[ 0.28375505,  0.71624495]]))
('go on', array([[ 0.28349796,  0.71650204]]))
('do my', array([[ 0.28347022,  0.71652978]]))
('no such', array([[ 0.28325666,  0.71674334]]))
('and over', array([[ 0.28280063,  0.71719937]]))
('or you', array([[ 0.28268833,  0.71731167]]))
('and dont', array([[ 0.28266119,  0.71733881]]))
('where you', array([[ 0.28251657,  0.71748343]]))
('you take', array([[ 0.28205888,  0.71794112]]))
('so called', array([[ 0.28187888,  0.71812112]]))
('you say', array([[ 0.28158463,  0.71841537]]))
('produce your', array([[ 0.28155782,  0.71844218]]))
('your questions', array([[ 0.28113085,  0.71886915]]))
('if people', array([[ 0.28100204,  0.71899796]]))
('nikko smells', array([[ 0.28085679,  0.71914321]]))
('smells nikko', array([[ 0.2807924,  0.7192076]]))
('asking you', array([[ 0.28068725,  0.71931275]]))
('tests you', array([[ 0.28042595,  0.71957405]]))
('proof of', array([[ 0.28026507,  0.71973493]]))
('my time', array([[ 0.28016155,  0.71983845]]))
('hate niggers', array([[ 0.27998805,  0.72001195]]))
('god is', array([[ 0.27979353,  0.72020647]]))
('you doing', array([[ 0.2797631,  0.7202369]]))
('all that', array([[ 0.27963987,  0.72036013]]))
('you at', array([[ 0.2793441,  0.7206559]]))
('come out', array([[ 0.27931069,  0.72068931]]))
('thinks he', array([[ 0.27906599,  0.72093401]]))
('your attention', array([[ 0.27903412,  0.72096588]]))
('the worst', array([[ 0.27883413,  0.72116587]]))
('and she', array([[ 0.2787103,  0.7212897]]))
('is such', array([[ 0.27848045,  0.72151955]]))
('you sure', array([[ 0.2783769,  0.7216231]]))
('said he', array([[ 0.2782847,  0.7217153]]))
('but your', array([[ 0.27819279,  0.72180721]]))
('you make', array([[ 0.27805247,  0.72194753]]))
('you see', array([[ 0.27802134,  0.72197866]]))
('his edits', array([[ 0.27790907,  0.72209093]]))
('your ip', array([[ 0.2778937,  0.7221063]]))
('assume you', array([[ 0.27787786,  0.72212214]]))
('arrest me', array([[ 0.27783817,  0.72216183]]))
