('the article', array([[ 0.99621849,  0.00378151]]))
('please feel', array([[ 0.98515598,  0.01484402]]))
('reliable source', array([[ 0.98515382,  0.01484618]]))
('the evidence', array([[ 0.98514936,  0.01485064]]))
('article to', array([[ 0.9851397,  0.0148603]]))
('to keep', array([[ 0.98512438,  0.01487562]]))
('if there', array([[ 0.9851147,  0.0148853]]))
('it might', array([[ 0.9849674,  0.0150326]]))
('but please', array([[ 0.98496397,  0.01503603]]))
('the issue', array([[ 0.98489555,  0.01510445]]))
('that would', array([[ 0.98484349,  0.01515651]]))
('and welcome', array([[ 0.98484014,  0.01515986]]))
('sandbox thank', array([[ 0.98475859,  0.01524141]]))
('more important', array([[ 0.98471515,  0.01528485]]))
('edit warring', array([[ 0.98470925,  0.01529075]]))
('not add', array([[ 0.9847078,  0.0152922]]))
('there to', array([[ 0.98466099,  0.01533901]]))
('but have', array([[ 0.98461821,  0.01538179]]))
('or not', array([[ 0.98453172,  0.01546828]]))
('please ask', array([[ 0.98447695,  0.01552305]]))
('for any', array([[ 0.98442264,  0.01557736]]))
('the show', array([[ 0.98439444,  0.01560556]]))
('could have', array([[ 0.98433363,  0.01566637]]))
('it seems', array([[ 0.98431564,  0.01568436]]))
('questions please', array([[ 0.98429778,  0.01570222]]))
('would suggest', array([[ 0.98429365,  0.01570635]]))
('on the', array([[ 0.98427603,  0.01572397]]))
('article but', array([[ 0.98427365,  0.01572635]]))
('sorry for', array([[ 0.98421217,  0.01578783]]))
('at wp', array([[ 0.98416689,  0.01583311]]))
('for deletion', array([[ 0.98409001,  0.01590999]]))
('in there', array([[ 0.98408705,  0.01591295]]))
('jpg thanks', array([[ 0.98408124,  0.01591876]]))
('article as', array([[ 0.98398757,  0.01601243]]))
('new section', array([[ 0.98397891,  0.01602109]]))
('article on', array([[ 0.98391591,  0.01608409]]))
('article in', array([[ 0.98390646,  0.01609354]]))
('different from', array([[ 0.98389332,  0.01610668]]))
('position please', array([[ 0.98382332,  0.01617668]]))
('to thank', array([[ 0.98378283,  0.01621717]]))
('could not', array([[ 0.98355042,  0.01644958]]))
('articles for', array([[ 0.98351965,  0.01648035]]))
('would be', array([[ 0.98341803,  0.01658197]]))
('the title', array([[ 0.98341451,  0.01658549]]))
('for example', array([[ 0.98340092,  0.01659908]]))
('there have', array([[ 0.98329546,  0.01670454]]))
('section of', array([[ 0.98327786,  0.01672214]]))
('the other', array([[ 0.98325365,  0.01674635]]))
('of which', array([[ 0.98324817,  0.01675183]]))
('could be', array([[ 0.98323835,  0.01676165]]))
('ve done', array([[ 0.98320757,  0.01679243]]))
('use the', array([[ 0.98319206,  0.01680794]]))
('add to', array([[ 0.98319087,  0.01680913]]))
('any evidence', array([[ 0.9831469,  0.0168531]]))
('with the', array([[ 0.98310618,  0.01689382]]))
('according to', array([[ 0.98306412,  0.01693588]]))
('sure it', array([[ 0.98304555,  0.01695445]]))
('interested in', array([[ 0.98304048,  0.01695952]]))
('please read', array([[ 0.98303699,  0.01696301]]))
('but was', array([[ 0.98303041,  0.01696959]]))
('and thanks', array([[ 0.98290079,  0.01709921]]))
('mean to', array([[ 0.9828925,  0.0171075]]))
('using it', array([[ 0.98285413,  0.01714587]]))
('the future', array([[ 0.98280972,  0.01719028]]))
('best to', array([[ 0.98276035,  0.01723965]]))
('section should', array([[ 0.98275787,  0.01724213]]))
('that section', array([[ 0.98271862,  0.01728138]]))
('asked for', array([[ 0.9826865,  0.0173135]]))
('there are', array([[ 0.98266356,  0.01733644]]))
('the better', array([[ 0.98264912,  0.01735088]]))
('there for', array([[ 0.98260639,  0.01739361]]))
('more accurate', array([[ 0.98255873,  0.01744127]]))
('please use', array([[ 0.98250575,  0.01749425]]))
('when there', array([[ 0.98247284,  0.01752716]]))
('that not', array([[ 0.98244828,  0.01755172]]))
('can add', array([[ 0.98243453,  0.01756547]]))
('please be', array([[ 0.98236827,  0.01763173]]))
('as there', array([[ 0.98233302,  0.01766698]]))
('if the', array([[ 0.98232093,  0.01767907]]))
('source for', array([[ 0.98225893,  0.01774107]]))
('can see', array([[ 0.98225403,  0.01774597]]))
('was added', array([[ 0.98224461,  0.01775539]]))
('to add', array([[ 0.9821872,  0.0178128]]))
('that but', array([[ 0.98211906,  0.01788094]]))
('for while', array([[ 0.98210163,  0.01789837]]))
('keep it', array([[ 0.9820897,  0.0179103]]))
('were to', array([[ 0.98206482,  0.01793518]]))
('until the', array([[ 0.9820629,  0.0179371]]))
('article that', array([[ 0.98201908,  0.01798092]]))
('discussion of', array([[ 0.98197917,  0.01802083]]))
('sorry about', array([[ 0.9819789,  0.0180211]]))
('please provide', array([[ 0.98197617,  0.01802383]]))
('any way', array([[ 0.98196906,  0.01803094]]))
('accept the', array([[ 0.98195468,  0.01804532]]))
('after the', array([[ 0.98193382,  0.01806618]]))
('please remember', array([[ 0.98192107,  0.01807893]]))
('in the', array([[ 0.98188027,  0.01811973]]))
('article and', array([[ 0.9818451,  0.0181549]]))
('but only', array([[ 0.98182464,  0.01817536]]))
('discussion pages', array([[ 0.98181527,  0.01818473]]))
('the idea', array([[ 0.98181151,  0.01818849]]))
('agree that', array([[ 0.9817985,  0.0182015]]))
('there any', array([[ 0.9817885,  0.0182115]]))
('something to', array([[ 0.98177827,  0.01822173]]))
('redirect to', array([[ 0.98176113,  0.01823887]]))
('very important', array([[ 0.98174981,  0.01825019]]))
('edit to', array([[ 0.98172679,  0.01827321]]))
('section that', array([[ 0.98165951,  0.01834049]]))
('page there', array([[ 0.98165912,  0.01834088]]))
('from the', array([[ 0.98165662,  0.01834338]]))
('was not', array([[ 0.98159228,  0.01840772]]))
('would say', array([[ 0.98158613,  0.01841387]]))
('there is', array([[ 0.98158493,  0.01841507]]))
('we need', array([[ 0.98154259,  0.01845741]]))
('am sorry', array([[ 0.98152312,  0.01847688]]))
('moved to', array([[ 0.98151135,  0.01848865]]))
('account for', array([[ 0.98147848,  0.01852152]]))
('as source', array([[ 0.981471,  0.018529]]))
('using the', array([[ 0.98146904,  0.01853096]]))
('the source', array([[ 0.98145542,  0.01854458]]))
('sorry if', array([[ 0.98144524,  0.01855476]]))
('which would', array([[ 0.9814445,  0.0185555]]))
('please contact', array([[ 0.98144083,  0.01855917]]))
('the same', array([[ 0.98141404,  0.01858596]]))
('neutral point', array([[ 0.98141232,  0.01858768]]))
('article at', array([[ 0.98134183,  0.01865817]]))
('to show', array([[ 0.98133865,  0.01866135]]))
('yes it', array([[ 0.98131683,  0.01868317]]))
('would appreciate', array([[ 0.98130562,  0.01869438]]))
('most important', array([[ 0.98127758,  0.01872242]]))
('but for', array([[ 0.98124336,  0.01875664]]))
('happened to', array([[ 0.98121807,  0.01878193]]))
('page please', array([[ 0.98116999,  0.01883001]]))
('article seems', array([[ 0.98115072,  0.01884928]]))
('be done', array([[ 0.98112183,  0.01887817]]))
('also please', array([[ 0.98109136,  0.01890864]]))
('there isn', array([[ 0.9810838,  0.0189162]]))
('we ve', array([[ 0.98107895,  0.01892105]]))
('position but', array([[ 0.98107496,  0.01892504]]))
('may not', array([[ 0.9810089,  0.0189911]]))
('that could', array([[ 0.98098285,  0.01901715]]))
('can find', array([[ 0.98096309,  0.01903691]]))
('the main', array([[ 0.9809582,  0.0190418]]))
('disruptive editing', array([[ 0.98091887,  0.01908113]]))
('thanks again', array([[ 0.98091692,  0.01908308]]))
('not have', array([[ 0.98089316,  0.01910684]]))
('but as', array([[ 0.98087383,  0.01912617]]))
('good article', array([[ 0.98082442,  0.01917558]]))
('the deletion', array([[ 0.98081367,  0.01918633]]))
('then please', array([[ 0.98078061,  0.01921939]]))
('here the', array([[ 0.98072255,  0.01927745]]))
('not just', array([[ 0.98066974,  0.01933026]]))
('see wp', array([[ 0.98065286,  0.01934714]]))
('to the', array([[ 0.98064513,  0.01935487]]))
('unblock request', array([[ 0.98063246,  0.01936754]]))
('ve made', array([[ 0.98063097,  0.01936903]]))
('if not', array([[ 0.98059784,  0.01940216]]))
('please check', array([[ 0.98057895,  0.01942105]]))
('of interest', array([[ 0.9805736,  0.0194264]]))
('they could', array([[ 0.98047996,  0.01952004]]))
('to list', array([[ 0.98047738,  0.01952262]]))
('used for', array([[ 0.98047422,  0.01952578]]))
('for more', array([[ 0.98047007,  0.01952993]]))
('criticism section', array([[ 0.9804658,  0.0195342]]))
('the template', array([[ 0.98039705,  0.01960295]]))
('in wp', array([[ 0.9803745,  0.0196255]]))
('it does', array([[ 0.98034916,  0.01965084]]))
('explain to', array([[ 0.98032171,  0.01967829]]))
('page it', array([[ 0.98030125,  0.01969875]]))
('please sign', array([[ 0.98029921,  0.01970079]]))
('to which', array([[ 0.98029419,  0.01970581]]))
('the 3rr', array([[ 0.98029401,  0.01970599]]))
('article needs', array([[ 0.98028196,  0.01971804]]))
('happy to', array([[ 0.98026643,  0.01973357]]))
('link for', array([[ 0.98023301,  0.01976699]]))
('it was', array([[ 0.98022381,  0.01977619]]))
('exactly the', array([[ 0.98022355,  0.01977645]]))
('pages using', array([[ 0.98022355,  0.01977645]]))
('in good', array([[ 0.98022337,  0.01977663]]))
('discussion to', array([[ 0.98019142,  0.01980858]]))
('to improve', array([[ 0.98015744,  0.01984256]]))
('there no', array([[ 0.98015295,  0.01984705]]))
('the game', array([[ 0.98013855,  0.01986145]]))
('hi there', array([[ 0.98012238,  0.01987762]]))
('2010 utc', array([[ 0.98008908,  0.01991092]]))
('as it', array([[ 0.98005991,  0.01994009]]))
('please let', array([[ 0.98005445,  0.01994555]]))
('please note', array([[ 0.98005148,  0.01994852]]))
('ask for', array([[ 0.98002814,  0.01997186]]))
('the best', array([[ 0.98000974,  0.01999026]]))
('feel that', array([[ 0.97998674,  0.02001326]]))
('article not', array([[ 0.97995514,  0.02004486]]))
('there may', array([[ 0.97993159,  0.02006841]]))
('again welcome', array([[ 0.97991072,  0.02008928]]))
('but on', array([[ 0.97985239,  0.02014761]]))
('welcome hello', array([[ 0.97982294,  0.02017706]]))
('forward to', array([[ 0.97981728,  0.02018272]]))
('see any', array([[ 0.97981613,  0.02018387]]))
('ve added', array([[ 0.97981271,  0.02018729]]))
('request that', array([[ 0.97978191,  0.02021809]]))
('able to', array([[ 0.9797707,  0.0202293]]))
('it would', array([[ 0.97976572,  0.02023428]]))
('point in', array([[ 0.9797646,  0.0202354]]))
('pretty sure', array([[ 0.97975387,  0.02024613]]))
('that might', array([[ 0.9797403,  0.0202597]]))
('to request', array([[ 0.97972245,  0.02027755]]))
('questions ask', array([[ 0.97969905,  0.02030095]]))
('the way', array([[ 0.97967098,  0.02032902]]))
('were in', array([[ 0.97964873,  0.02035127]]))
('better to', array([[ 0.97963603,  0.02036397]]))
('on there', array([[ 0.97961882,  0.02038118]]))
('know if', array([[ 0.97960734,  0.02039266]]))
('says that', array([[ 0.97958349,  0.02041651]]))
('very good', array([[ 0.97951968,  0.02048032]]))
('not sure', array([[ 0.9795118,  0.0204882]]))
('see here', array([[ 0.97945134,  0.02054866]]))
('as the', array([[ 0.97943996,  0.02056004]]))
('need help', array([[ 0.97942131,  0.02057869]]))
('are welcome', array([[ 0.97942081,  0.02057919]]))
('published in', array([[ 0.9794016,  0.0205984]]))
('article can', array([[ 0.9793892,  0.0206108]]))
('however the', array([[ 0.9793692,  0.0206308]]))
('to provide', array([[ 0.97936683,  0.02063317]]))
('it good', array([[ 0.97936681,  0.02063319]]))
('used in', array([[ 0.97931258,  0.02068742]]))
('main article', array([[ 0.97930426,  0.02069574]]))
('be there', array([[ 0.97930176,  0.02069824]]))
('we should', array([[ 0.97924174,  0.02075826]]))
('but at', array([[ 0.9792153,  0.0207847]]))
('ok to', array([[ 0.97907606,  0.02092394]]))
('regarding the', array([[ 0.97907128,  0.02092872]]))
('please please', array([[ 0.97905672,  0.02094328]]))
('as per', array([[ 0.97902669,  0.02097331]]))
('one could', array([[ 0.97902383,  0.02097617]]))
('evidence that', array([[ 0.97900329,  0.02099671]]))
('any questions', array([[ 0.97900117,  0.02099883]]))
('article may', array([[ 0.97898549,  0.02101451]]))
('the reference', array([[ 0.97895311,  0.02104689]]))
('but can', array([[ 0.97890129,  0.02109871]]))
('there seems', array([[ 0.97886506,  0.02113494]]))
('not to', array([[ 0.97885218,  0.02114782]]))
('which were', array([[ 0.97885022,  0.02114978]]))
('it better', array([[ 0.97884131,  0.02115869]]))
('in which', array([[ 0.97882865,  0.02117135]]))
('to mention', array([[ 0.97881042,  0.02118958]]))
('feel it', array([[ 0.97877043,  0.02122957]]))
('in that', array([[ 0.97874682,  0.02125318]]))
('in order', array([[ 0.97874384,  0.02125616]]))
('to explain', array([[ 0.97872099,  0.02127901]]))
('please discuss', array([[ 0.97868388,  0.02131612]]))
('at the', array([[ 0.97867764,  0.02132236]]))
('for now', array([[ 0.97866281,  0.02133719]]))
('if someone', array([[ 0.97865487,  0.02134513]]))
('issue of', array([[ 0.97865423,  0.02134577]]))
('and would', array([[ 0.9786178,  0.0213822]]))
('it more', array([[ 0.97858255,  0.02141745]]))
('may have', array([[ 0.97853481,  0.02146519]]))
('sorry to', array([[ 0.97845917,  0.02154083]]))
('reasons for', array([[ 0.97845716,  0.02154284]]))
('it into', array([[ 0.97843463,  0.02156537]]))
('wp blp', array([[ 0.9784335,  0.0215665]]))
('sorry but', array([[ 0.97843085,  0.02156915]]))
('wish to', array([[ 0.978426,  0.021574]]))
('not agree', array([[ 0.97841843,  0.02158157]]))
('not in', array([[ 0.97838441,  0.02161559]]))
('working on', array([[ 0.97837069,  0.02162931]]))
('the different', array([[ 0.97835765,  0.02164235]]))
('or more', array([[ 0.9783434,  0.0216566]]))
('after that', array([[ 0.97834014,  0.02165986]]))
('wp or', array([[ 0.97831742,  0.02168258]]))
('can someone', array([[ 0.97830801,  0.02169199]]))
('of evidence', array([[ 0.97829569,  0.02170431]]))
('the company', array([[ 0.97828664,  0.02171336]]))
('2009 utc', array([[ 0.97826715,  0.02173285]]))
('for it', array([[ 0.97824643,  0.02175357]]))
('saying that', array([[ 0.97823477,  0.02176523]]))
('the picture', array([[ 0.97820168,  0.02179832]]))
('article from', array([[ 0.97814318,  0.02185682]]))
('the request', array([[ 0.97813152,  0.02186848]]))
('think there', array([[ 0.97811549,  0.02188451]]))
('idea to', array([[ 0.97808524,  0.02191476]]))
('at talk', array([[ 0.97807915,  0.02192085]]))
('keep in', array([[ 0.97807137,  0.02192863]]))
('the discussion', array([[ 0.97806364,  0.02193636]]))
('as though', array([[ 0.97805762,  0.02194238]]))
('new article', array([[ 0.97805378,  0.02194622]]))
('the final', array([[ 0.9780499,  0.0219501]]))
('work for', array([[ 0.97801767,  0.02198233]]))
('article if', array([[ 0.97798005,  0.02201995]]))
('but this', array([[ 0.97797105,  0.02202895]]))
('show the', array([[ 0.97795832,  0.02204168]]))
('image description', array([[ 0.97795656,  0.02204344]]))
('any other', array([[ 0.97792023,  0.02207977]]))
('see also', array([[ 0.9778826,  0.0221174]]))
('to edit', array([[ 0.9778596,  0.0221404]]))
('the link', array([[ 0.97785882,  0.02214118]]))
('source in', array([[ 0.97783382,  0.02216618]]))
('can ask', array([[ 0.97782193,  0.02217807]]))
('new to', array([[ 0.97780916,  0.02219084]]))
('though it', array([[ 0.97780138,  0.02219862]]))
('the help', array([[ 0.97772729,  0.02227271]]))
('for taking', array([[ 0.97769177,  0.02230823]]))
('would need', array([[ 0.97767204,  0.02232796]]))
('version of', array([[ 0.97758193,  0.02241807]]))
('more in', array([[ 0.97757336,  0.02242664]]))
('for which', array([[ 0.97755729,  0.02244271]]))
('there the', array([[ 0.97753087,  0.02246913]]))
('not the', array([[ 0.9774982,  0.0225018]]))
('in more', array([[ 0.97748926,  0.02251074]]))
('in different', array([[ 0.97748871,  0.02251129]]))
('was wondering', array([[ 0.97746999,  0.02253001]]))
('correct the', array([[ 0.97746401,  0.02253599]]))
('interest in', array([[ 0.97742155,  0.02257845]]))
('the comment', array([[ 0.9773992,  0.0226008]]))
('featured article', array([[ 0.97739343,  0.02260657]]))
('article about', array([[ 0.97738969,  0.02261031]]))
('took the', array([[ 0.97736464,  0.02263536]]))
('there has', array([[ 0.97733506,  0.02266494]]))
('due to', array([[ 0.97731612,  0.02268388]]))
('the three', array([[ 0.9773102,  0.0226898]]))
('except for', array([[ 0.97727463,  0.02272537]]))
('mentioned in', array([[ 0.97726526,  0.02273474]]))
('evidence to', array([[ 0.97724906,  0.02275094]]))
('the books', array([[ 0.97722707,  0.02277293]]))
('removed please', array([[ 0.97721903,  0.02278097]]))
('idea of', array([[ 0.97721883,  0.02278117]]))
('was in', array([[ 0.97720874,  0.02279126]]))
('references to', array([[ 0.9771923,  0.0228077]]))
('we can', array([[ 0.97719021,  0.02280979]]))
('but why', array([[ 0.97718231,  0.02281769]]))
('not saying', array([[ 0.97715358,  0.02284642]]))
('type of', array([[ 0.97714741,  0.02285259]]))
('history section', array([[ 0.97714642,  0.02285358]]))
('articles as', array([[ 0.97712863,  0.02287137]]))
('supposed to', array([[ 0.97711349,  0.02288651]]))
('found in', array([[ 0.97710559,  0.02289441]]))
('evidence for', array([[ 0.97709376,  0.02290624]]))
('add that', array([[ 0.97709101,  0.02290899]]))
('might find', array([[ 0.97709024,  0.02290976]]))
('good work', array([[ 0.97706551,  0.02293449]]))
('the new', array([[ 0.97705847,  0.02294153]]))
('if anyone', array([[ 0.97702803,  0.02297197]]))
('isn the', array([[ 0.9770133,  0.0229867]]))
('idea that', array([[ 0.97700857,  0.02299143]]))
('video game', array([[ 0.97699056,  0.02300944]]))
('can be', array([[ 0.97698396,  0.02301604]]))
('source to', array([[ 0.97695345,  0.02304655]]))
('heard of', array([[ 0.97693887,  0.02306113]]))
('image to', array([[ 0.97690334,  0.02309666]]))
('they ve', array([[ 0.97689987,  0.02310013]]))
('article the', array([[ 0.97689272,  0.02310728]]))
('of new', array([[ 0.9768905,  0.0231095]]))
('to point', array([[ 0.97688277,  0.02311723]]))
('important to', array([[ 0.97685575,  0.02314425]]))
('saying the', array([[ 0.97683121,  0.02316879]]))
('answer to', array([[ 0.97682205,  0.02317795]]))
('to join', array([[ 0.97681011,  0.02318989]]))
('to wp', array([[ 0.97677478,  0.02322522]]))
('the version', array([[ 0.97677469,  0.02322531]]))
('that were', array([[ 0.97674397,  0.02325603]]))
('doubt that', array([[ 0.97669504,  0.02330496]]))
('the case', array([[ 0.97669089,  0.02330911]]))
('article have', array([[ 0.97668018,  0.02331982]]))
('section and', array([[ 0.97666072,  0.02333928]]))
('the great', array([[ 0.97664804,  0.02335196]]))
('the english', array([[ 0.97664074,  0.02335926]]))
('source the', array([[ 0.97663412,  0.02336588]]))
('feel the', array([[ 0.97663347,  0.02336653]]))
('article does', array([[ 0.97660561,  0.02339439]]))
('the articles', array([[ 0.97659386,  0.02340614]]))
('speedy deletion', array([[ 0.97659295,  0.02340705]]))
('editing if', array([[ 0.97658241,  0.02341759]]))
('section is', array([[ 0.97657767,  0.02342233]]))
('towards the', array([[ 0.97656472,  0.02343528]]))
('we were', array([[ 0.97652566,  0.02347434]]))
('asked questions', array([[ 0.97651855,  0.02348145]]))
('the number', array([[ 0.97650664,  0.02349336]]))
('at best', array([[ 0.97650567,  0.02349433]]))
('reply to', array([[ 0.97650347,  0.02349653]]))
('article by', array([[ 0.97647723,  0.02352277]]))
('add on', array([[ 0.97647462,  0.02352538]]))
('any case', array([[ 0.9764686,  0.0235314]]))
('in to', array([[ 0.97645353,  0.02354647]]))
('maybe we', array([[ 0.97643331,  0.02356669]]))
('new user', array([[ 0.97642322,  0.02357678]]))
('be moved', array([[ 0.97640245,  0.02359755]]))
('but then', array([[ 0.97639792,  0.02360208]]))
('that article', array([[ 0.97639175,  0.02360825]]))
('have good', array([[ 0.97638205,  0.02361795]]))
('ask question', array([[ 0.97636834,  0.02363166]]))
('the first', array([[ 0.97635971,  0.02364029]]))
('much more', array([[ 0.97635678,  0.02364322]]))
('the consensus', array([[ 0.97635375,  0.02364625]]))
('however if', array([[ 0.97634765,  0.02365235]]))
('since there', array([[ 0.97633814,  0.02366186]]))
('the context', array([[ 0.9763329,  0.0236671]]))
('no idea', array([[ 0.9763282,  0.0236718]]))
('review the', array([[ 0.97632386,  0.02367614]]))
('the point', array([[ 0.97629178,  0.02370822]]))
('edit request', array([[ 0.97628762,  0.02371238]]))
('certainly not', array([[ 0.97626203,  0.02373797]]))
('or ask', array([[ 0.97625774,  0.02374226]]))
('ve got', array([[ 0.97625042,  0.02374958]]))
('without any', array([[ 0.97624801,  0.02375199]]))
('in discussion', array([[ 0.97623529,  0.02376471]]))
('in many', array([[ 0.9761733,  0.0238267]]))
('consensus on', array([[ 0.97616926,  0.02383074]]))
('the good', array([[ 0.97616245,  0.02383755]]))
('sure if', array([[ 0.97610458,  0.02389542]]))
('much better', array([[ 0.97606283,  0.02393717]]))
('reason for', array([[ 0.97605596,  0.02394404]]))
('read wp', array([[ 0.9760436,  0.0239564]]))
('criticism of', array([[ 0.97602016,  0.02397984]]))
('article just', array([[ 0.97601954,  0.02398046]]))
('that many', array([[ 0.975975,  0.024025]]))
('though the', array([[ 0.9759702,  0.0240298]]))
('be great', array([[ 0.97595704,  0.02404296]]))
('good to', array([[ 0.97593959,  0.02406041]]))
('the references', array([[ 0.97589822,  0.02410178]]))
('sure the', array([[ 0.97589536,  0.02410464]]))
('to talk', array([[ 0.9758903,  0.0241097]]))
('image of', array([[ 0.97588684,  0.02411316]]))
('the image', array([[ 0.97583639,  0.02416361]]))
('have something', array([[ 0.97582299,  0.02417701]]))
('to suggest', array([[ 0.97582048,  0.02417952]]))
('wp rs', array([[ 0.97579716,  0.02420284]]))
('in other', array([[ 0.97579393,  0.02420607]]))
('glad to', array([[ 0.97577699,  0.02422301]]))
('discussion at', array([[ 0.9757369,  0.0242631]]))
('case for', array([[ 0.97570667,  0.02429333]]))
('issue with', array([[ 0.9756722,  0.0243278]]))
('might have', array([[ 0.97565188,  0.02434812]]))
('then there', array([[ 0.97565104,  0.02434896]]))
('and could', array([[ 0.97565068,  0.02434932]]))
('added the', array([[ 0.97563993,  0.02436007]]))
('it please', array([[ 0.97560083,  0.02439917]]))
('would like', array([[ 0.97559815,  0.02440185]]))
('see if', array([[ 0.97559753,  0.02440247]]))
('good luck', array([[ 0.97559139,  0.02440861]]))
('find any', array([[ 0.9755648,  0.0244352]]))
('could do', array([[ 0.97556005,  0.02443995]]))
('consensus to', array([[ 0.97546056,  0.02453944]]))
('the category', array([[ 0.97545937,  0.02454063]]))
('referring to', array([[ 0.97545042,  0.02454958]]))
('the correct', array([[ 0.975423,  0.024577]]))
('known for', array([[ 0.97542201,  0.02457799]]))
('two different', array([[ 0.97538804,  0.02461196]]))
('the standard', array([[ 0.97536973,  0.02463027]]))
('one for', array([[ 0.97536051,  0.02463949]]))
('one point', array([[ 0.97533202,  0.02466798]]))
('me please', array([[ 0.97532172,  0.02467828]]))
('as we', array([[ 0.97531701,  0.02468299]]))
('the the', array([[ 0.97530455,  0.02469545]]))
('whether the', array([[ 0.97529853,  0.02470147]]))
('references for', array([[ 0.97529631,  0.02470369]]))
('idea what', array([[ 0.97528165,  0.02471835]]))
('to articles', array([[ 0.97525286,  0.02474714]]))
('suggest that', array([[ 0.97524337,  0.02475663]]))
('an issue', array([[ 0.97523183,  0.02476817]]))
('be interested', array([[ 0.97522889,  0.02477111]]))
('the talk', array([[ 0.97521471,  0.02478529]]))
('what would', array([[ 0.97518746,  0.02481254]]))
('the facts', array([[ 0.97518115,  0.02481885]]))
('would know', array([[ 0.97517573,  0.02482427]]))
('would also', array([[ 0.97510351,  0.02489649]]))
('was done', array([[ 0.97510091,  0.02489909]]))
('to move', array([[ 0.97508881,  0.02491119]]))
('to accept', array([[ 0.97508367,  0.02491633]]))
('done in', array([[ 0.97504695,  0.02495305]]))
('was used', array([[ 0.97502407,  0.02497593]]))
('in error', array([[ 0.97501496,  0.02498504]]))
('this please', array([[ 0.97499803,  0.02500197]]))
('the matter', array([[ 0.97497592,  0.02502408]]))
('point to', array([[ 0.97493777,  0.02506223]]))
('in terms', array([[ 0.97491119,  0.02508881]]))
('looked at', array([[ 0.97489451,  0.02510549]]))
('for speedy', array([[ 0.97488127,  0.02511873]]))
('barnstar style', array([[ 0.97487482,  0.02512518]]))
('does anyone', array([[ 0.97486823,  0.02513177]]))
('to change', array([[ 0.97486337,  0.02513663]]))
('join the', array([[ 0.97485423,  0.02514577]]))
('bit more', array([[ 0.97484671,  0.02515329]]))
('happy editing', array([[ 0.97484386,  0.02515614]]))
('only one', array([[ 0.97483586,  0.02516414]]))
